Date : 2021-01-12 23:00:47
Directory : /home/dhem/deom_git/HASSIM/src
Total : 143 files,  15098 codes, 1461 comments, 2632 blanks, all 19191 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| /home/dhem/deom_git/HASSIM/src/deom/deomKrylov.cpp                  | C++        |        202 |         13 |         31 |        246 |
| /home/dhem/deom_git/HASSIM/src/deom/deomPropagation.cpp             | C++        |         20 |          6 |          3 |         29 |
| /home/dhem/deom_git/HASSIM/src/deom/deomPulse.hpp                   | C++        |         55 |         14 |         18 |         87 |
| /home/dhem/deom_git/HASSIM/src/deom/deomRem.cpp                     | C++        |        687 |          8 |         87 |        782 |
| /home/dhem/deom_git/HASSIM/src/deom/deomSyst.hpp                    | C++        |         38 |          6 |         11 |         55 |
| /home/dhem/deom_git/HASSIM/src/deom/resp1st.cpp                     | C++        |         68 |          9 |         20 |         97 |
| /home/dhem/deom_git/HASSIM/src/deom/resp2nd.cpp                     | C++        |        135 |         10 |         29 |        174 |
| /home/dhem/deom_git/HASSIM/src/deom/resp3rd.cpp                     | C++        |        172 |          9 |         43 |        224 |
| /home/dhem/deom_git/HASSIM/src/deom/respPcc.cpp                     | C++        |        171 |         15 |          7 |        193 |
| /home/dhem/deom_git/HASSIM/src/deom2/CMakeLists.txt                 | Django txt |          3 |          0 |          1 |          4 |
| /home/dhem/deom_git/HASSIM/src/deom2/deom2.hpp                      | C++        |        160 |         10 |         27 |        197 |
| /home/dhem/deom_git/HASSIM/src/deom2/deomAlgebra2.cpp               | C++        |         99 |          6 |         15 |        120 |
| /home/dhem/deom_git/HASSIM/src/deom2/deomBath2.hpp                  | C++        |        110 |          6 |         16 |        132 |
| /home/dhem/deom_git/HASSIM/src/deom2/deomEqSolverProp2.cpp          | C++        |         39 |          7 |          8 |         54 |
| /home/dhem/deom_git/HASSIM/src/deom2/deomRem2.cpp                   | C++        |        258 |          6 |         19 |        283 |
| /home/dhem/deom_git/HASSIM/src/deom2/deomSyst2.hpp                  | C++        |         46 |          6 |         11 |         63 |
| /home/dhem/deom_git/HASSIM/src/deom2/resp1st2.cpp                   | C++        |         66 |          9 |         19 |         94 |
| /home/dhem/deom_git/HASSIM/src/ideom/CMakeLists.txt                 | Django txt |          3 |          0 |          1 |          4 |
| /home/dhem/deom_git/HASSIM/src/ideom/ideom.hpp                      | C++        |        171 |         10 |         25 |        206 |
| /home/dhem/deom_git/HASSIM/src/ideom/ideomEquilibrium.cpp           | C++        |         46 |         16 |          9 |         71 |
| /home/dhem/deom_git/HASSIM/src/ideom/ideomRem.cpp                   | C++        |         59 |          6 |          7 |         72 |
| Total                                                               |            |     15,098 |      1,461 |      2,632 |     19,191 |
+---------------------------------------------------------------------+------------+------------+------------+------------+------------+
