"filename", "language", "Markdown", "Django txt", "C++", "Python", "CUDA C++", "JSON", "comment", "blank", "total"
"/home/dhem/deom_git/HASSIM/src/apps/lamDyn-GQ.cpp", "C++", 0, 0, 77, 0, 0, 0, 15, 12, 104
"/home/dhem/deom_git/HASSIM/src/apps/lamDyn-GQnoSCI2.cpp", "C++", 0, 0, 77, 0, 0, 0, 15, 12, 104
"/home/dhem/deom_git/HASSIM/src/apps/lamDynamics.cpp", "C++", 0, 0, 65, 0, 0, 0, 17, 10, 92
"/home/dhem/deom_git/HASSIM/src/apps/moment.cpp", "C++", 0, 0, 47, 0, 0, 0, 7, 10, 64
"/home/dhem/deom_git/HASSIM/src/apps/pcc.cpp", "C++", 0, 0, 95, 0, 0, 0, 11, 10, 116
"/home/dhem/deom_git/HASSIM/src/apps/pcc_integral.cpp", "C++", 0, 0, 93, 0, 0, 0, 3, 15, 111
"/home/dhem/deom_git/HASSIM/src/apps/pcet-flux.cpp", "C++", 0, 0, 64, 0, 0, 0, 6, 15, 85
"/home/dhem/deom_git/HASSIM/src/apps/pcet-rate.cpp", "C++", 0, 0, 116, 0, 0, 0, 13, 18, 147
"/home/dhem/deom_git/HASSIM/src/apps/pump-probe.cpp", "C++", 0, 0, 116, 0, 0, 0, 10, 20, 146
"/home/dhem/deom_git/HASSIM/src/apps/rate.cpp", "C++", 0, 0, 89, 0, 0, 0, 11, 15, 115
"/home/dhem/deom_git/HASSIM/src/apps/retinal-0.cpp", "C++", 0, 0, 72, 0, 0, 0, 8, 10, 90
"/home/dhem/deom_git/HASSIM/src/apps/retinal-1.cpp", "C++", 0, 0, 94, 0, 0, 0, 10, 15, 119
"/home/dhem/deom_git/HASSIM/src/apps/retinal-2.cpp", "C++", 0, 0, 88, 0, 0, 0, 10, 11, 109
"/home/dhem/deom_git/HASSIM/src/apps/retinal-3.cpp", "C++", 0, 0, 109, 0, 0, 0, 12, 16, 137
"/home/dhem/deom_git/HASSIM/src/apps/retinal-photo.cpp", "C++", 0, 0, 117, 0, 0, 0, 11, 18, 146
"/home/dhem/deom_git/HASSIM/src/apps/retinal-therm0.cpp", "C++", 0, 0, 95, 0, 0, 0, 9, 13, 117
"/home/dhem/deom_git/HASSIM/src/apps/retinal-therm1.cpp", "C++", 0, 0, 146, 0, 0, 0, 11, 12, 169
"/home/dhem/deom_git/HASSIM/src/apps/retinal-therm2.cpp", "C++", 0, 0, 85, 0, 0, 0, 8, 11, 104
"/home/dhem/deom_git/HASSIM/src/apps/rhoeq-properties.cpp", "C++", 0, 0, 33, 0, 0, 0, 6, 9, 48
"/home/dhem/deom_git/HASSIM/src/apps/rhot-rk20.cpp", "C++", 0, 0, 45, 0, 0, 0, 6, 9, 60
"/home/dhem/deom_git/HASSIM/src/apps/rhot-spo.cpp", "C++", 0, 0, 50, 0, 0, 0, 6, 9, 65
"/home/dhem/deom_git/HASSIM/src/apps/rhot.cpp", "C++", 0, 0, 59, 0, 0, 0, 11, 9, 79
"/home/dhem/deom_git/HASSIM/src/apps/rhot2.cpp", "C++", 0, 0, 57, 0, 0, 0, 6, 10, 73
"/home/dhem/deom_git/HASSIM/src/apps/td-A0.cpp", "C++", 0, 0, 58, 0, 0, 0, 21, 14, 93
"/home/dhem/deom_git/HASSIM/src/apps/td-A_0T.cpp", "C++", 0, 0, 60, 0, 0, 0, 11, 9, 80
"/home/dhem/deom_git/HASSIM/src/apps/td-lamDynamics.cpp", "C++", 0, 0, 68, 0, 0, 0, 11, 13, 92
"/home/dhem/deom_git/HASSIM/src/apps/td-polar.cpp", "C++", 0, 0, 77, 0, 0, 0, 7, 20, 104
"/home/dhem/deom_git/HASSIM/src/apps/td-rate-kernel.cpp", "C++", 0, 0, 123, 0, 0, 0, 11, 23, 157
"/home/dhem/deom_git/HASSIM/src/apps/td-rate-w0.cpp", "C++", 0, 0, 93, 0, 0, 0, 9, 21, 123
"/home/dhem/deom_git/HASSIM/src/apps/td-rhot-0.cpp", "C++", 0, 0, 65, 0, 0, 0, 7, 17, 89
"/home/dhem/deom_git/HASSIM/src/apps/td-rhot.cpp", "C++", 0, 0, 81, 0, 0, 0, 7, 21, 109
"/home/dhem/deom_git/HASSIM/src/apps/test_fdt.cpp", "C++", 0, 0, 115, 0, 0, 0, 7, 15, 137
"/home/dhem/deom_git/HASSIM/src/apps/test_imagDynamics.cpp", "C++", 0, 0, 42, 0, 0, 0, 8, 13, 63
"/home/dhem/deom_git/HASSIM/src/apps/test_solveEq.cpp", "C++", 0, 0, 37, 0, 0, 0, 6, 11, 54
"/home/dhem/deom_git/HASSIM/src/apps/test_solveEqKrylov.cpp", "C++", 0, 0, 37, 0, 0, 0, 6, 12, 55
"/home/dhem/deom_git/HASSIM/src/apps/thermo-spectral.cpp", "C++", 0, 0, 71, 0, 0, 0, 7, 14, 92
"/home/dhem/deom_git/HASSIM/src/apps/time-distro-2.cpp", "C++", 0, 0, 101, 0, 0, 0, 16, 13, 130
"/home/dhem/deom_git/HASSIM/src/apps/time-distro.cpp", "C++", 0, 0, 91, 0, 0, 0, 13, 15, 119
"/home/dhem/deom_git/HASSIM/src/apps/weak_measure_I.cpp", "C++", 0, 0, 83, 0, 0, 0, 12, 15, 110
"/home/dhem/deom_git/HASSIM/src/apps/weak_measure_N.cpp", "C++", 0, 0, 124, 0, 0, 0, 13, 19, 156
"/home/dhem/deom_git/HASSIM/src/apps/weak_measure_corr_1.cpp", "C++", 0, 0, 102, 0, 0, 0, 11, 19, 132
"/home/dhem/deom_git/HASSIM/src/apps/weak_measure_corr_2.cpp", "C++", 0, 0, 71, 0, 0, 0, 16, 15, 102
"/home/dhem/deom_git/HASSIM/src/apps/weak_measure_corr_x.cpp", "C++", 0, 0, 81, 0, 0, 0, 15, 15, 111
"/home/dhem/deom_git/HASSIM/src/apps/weak_measure_corr_y.cpp", "C++", 0, 0, 81, 0, 0, 0, 15, 15, 111
"/home/dhem/deom_git/HASSIM/src/apps/weak_measure_corr_z.cpp", "C++", 0, 0, 81, 0, 0, 0, 15, 15, 111
"/home/dhem/deom_git/HASSIM/src/apps/wigner-har.cpp", "C++", 0, 0, 80, 0, 0, 0, 6, 13, 99
"/home/dhem/deom_git/HASSIM/src/bdeom/CMakeLists.txt", "Django txt", 0, 3, 0, 0, 0, 0, 0, 1, 4
"/home/dhem/deom_git/HASSIM/src/bdeom/blockdeom.hpp", "C++", 0, 0, 389, 0, 0, 0, 39, 64, 492
"/home/dhem/deom_git/HASSIM/src/bdeom/blockdeomAlgebra.cpp", "C++", 0, 0, 139, 0, 0, 0, 6, 21, 166
"/home/dhem/deom_git/HASSIM/src/bdeom/blockdeomEqSolverImag.cpp", "C++", 0, 0, 40, 0, 0, 0, 13, 10, 63
"/home/dhem/deom_git/HASSIM/src/bdeom/blockdeomEqSolverProp.cpp", "C++", 0, 0, 37, 0, 0, 0, 6, 7, 50
"/home/dhem/deom_git/HASSIM/src/bdeom/blockdeomEqSolverSCI3.cpp", "C++", 0, 0, 119, 0, 0, 0, 12, 17, 148
"/home/dhem/deom_git/HASSIM/src/bdeom/blockdeomPropagation.cpp", "C++", 0, 0, 20, 0, 0, 0, 6, 3, 29
"/home/dhem/deom_git/HASSIM/src/bdeom/blockdeomRem.cpp", "C++", 0, 0, 167, 0, 0, 0, 9, 22, 198
"/home/dhem/deom_git/HASSIM/src/bdeom/corr1stLA.cpp", "C++", 0, 0, 69, 0, 0, 0, 8, 25, 102
"/home/dhem/deom_git/HASSIM/src/bdeom/corr1stSE.cpp", "C++", 0, 0, 74, 0, 0, 0, 8, 25, 107
"/home/dhem/deom_git/HASSIM/src/bdeom/corr3rdK3.cpp", "C++", 0, 0, 214, 0, 0, 0, 9, 55, 278
"/home/dhem/deom_git/HASSIM/src/bdeom/corr3rdPP-monomer.cpp", "C++", 0, 0, 292, 0, 0, 0, 9, 59, 360
"/home/dhem/deom_git/HASSIM/src/bdeom/corr3rdPP.cpp", "C++", 0, 0, 338, 0, 0, 0, 9, 58, 405
"/home/dhem/deom_git/HASSIM/src/blockdeom/CMakeLists.txt", "Django txt", 0, 3, 0, 0, 0, 0, 0, 1, 4
"/home/dhem/deom_git/HASSIM/src/blockdeom/bak/corrPcc.cpp", "C++", 0, 0, 274, 0, 0, 0, 38, 12, 324
"/home/dhem/deom_git/HASSIM/src/blockdeom/blockdeom.hpp", "C++", 0, 0, 395, 0, 0, 0, 45, 64, 504
"/home/dhem/deom_git/HASSIM/src/blockdeom/blockdeomAlgebra.cpp", "C++", 0, 0, 154, 0, 0, 0, 6, 22, 182
"/home/dhem/deom_git/HASSIM/src/blockdeom/blockdeomEqSolverProp.cpp", "C++", 0, 0, 37, 0, 0, 0, 6, 7, 50
"/home/dhem/deom_git/HASSIM/src/blockdeom/blockdeomEqSolverSCI3.cpp", "C++", 0, 0, 119, 0, 0, 0, 12, 17, 148
"/home/dhem/deom_git/HASSIM/src/blockdeom/blockdeomPropagation.cpp", "C++", 0, 0, 20, 0, 0, 0, 6, 3, 29
"/home/dhem/deom_git/HASSIM/src/blockdeom/blockdeomRem.cpp", "C++", 0, 0, 118, 0, 0, 0, 6, 15, 139
"/home/dhem/deom_git/HASSIM/src/blockdeom/blockdeomSyst.hpp", "C++", 0, 0, 43, 0, 0, 0, 6, 13, 62
"/home/dhem/deom_git/HASSIM/src/blockdeom/corr1stLA.cpp", "C++", 0, 0, 69, 0, 0, 0, 8, 25, 102
"/home/dhem/deom_git/HASSIM/src/blockdeom/corr1stSE.cpp", "C++", 0, 0, 74, 0, 0, 0, 8, 25, 107
"/home/dhem/deom_git/HASSIM/src/blockdeom/corr3rdK3.cpp", "C++", 0, 0, 214, 0, 0, 0, 9, 55, 278
"/home/dhem/deom_git/HASSIM/src/blockdeom/corr3rdPP-monomer.cpp", "C++", 0, 0, 292, 0, 0, 0, 9, 59, 360
"/home/dhem/deom_git/HASSIM/src/blockdeom/corr3rdPP.cpp", "C++", 0, 0, 338, 0, 0, 0, 9, 58, 405
"/home/dhem/deom_git/HASSIM/src/blockdeom2/CMakeLists.txt", "Django txt", 0, 3, 0, 0, 0, 0, 0, 1, 4
"/home/dhem/deom_git/HASSIM/src/blockdeom2/blockdeom2.hpp", "C++", 0, 0, 353, 0, 0, 0, 39, 53, 445
"/home/dhem/deom_git/HASSIM/src/blockdeom2/blockdeom2Algebra.cpp", "C++", 0, 0, 26, 0, 0, 0, 6, 4, 36
"/home/dhem/deom_git/HASSIM/src/blockdeom2/blockdeom2Propagation.cpp", "C++", 0, 0, 20, 0, 0, 0, 6, 3, 29
"/home/dhem/deom_git/HASSIM/src/blockdeom2/blockdeom2Rem.cpp", "C++", 0, 0, 248, 0, 0, 0, 6, 21, 275
"/home/dhem/deom_git/HASSIM/src/blockdeom2/blockdeom2Syst.hpp", "C++", 0, 0, 44, 0, 0, 0, 6, 12, 62
"/home/dhem/deom_git/HASSIM/src/blockdeom2/corr3rdPP2-monomer.cpp", "C++", 0, 0, 289, 0, 0, 0, 9, 59, 357
"/home/dhem/deom_git/HASSIM/src/codde/codde.hpp", "C++", 0, 0, 117, 0, 0, 0, 10, 32, 159
"/home/dhem/deom_git/HASSIM/src/codde/coddeAlgebra.cpp", "C++", 0, 0, 30, 0, 0, 0, 6, 8, 44
"/home/dhem/deom_git/HASSIM/src/codde/coddeEquilibrium.cpp", "C++", 0, 0, 45, 0, 0, 0, 7, 7, 59
"/home/dhem/deom_git/HASSIM/src/codde/coddePropagation.cpp", "C++", 0, 0, 19, 0, 0, 0, 6, 3, 28
"/home/dhem/deom_git/HASSIM/src/codde/coddeRem.cpp", "C++", 0, 0, 435, 0, 0, 0, 6, 50, 491
"/home/dhem/deom_git/HASSIM/src/deom/CMakeLists.txt", "Django txt", 0, 3, 0, 0, 0, 0, 0, 1, 4
"/home/dhem/deom_git/HASSIM/src/deom/bak/deom.hpp", "C++", 0, 0, 294, 0, 0, 0, 10, 68, 372
"/home/dhem/deom_git/HASSIM/src/deom/bak/test_reference.cpp", "C++", 0, 0, 18, 0, 0, 0, 0, 3, 21
"/home/dhem/deom_git/HASSIM/src/deom/deom.hpp", "C++", 0, 0, 312, 0, 0, 0, 14, 68, 394
"/home/dhem/deom_git/HASSIM/src/deom/deomAlgebra.cpp", "C++", 0, 0, 132, 0, 0, 0, 6, 18, 156
"/home/dhem/deom_git/HASSIM/src/deom/deomBath.hpp", "C++", 0, 0, 92, 0, 0, 0, 6, 16, 114
"/home/dhem/deom_git/HASSIM/src/deom/deomConst.hpp", "C++", 0, 0, 11, 0, 0, 0, 9, 7, 27
"/home/dhem/deom_git/HASSIM/src/deom/deomEqSolverKrylov.cpp", "C++", 0, 0, 48, 0, 0, 0, 8, 10, 66
"/home/dhem/deom_git/HASSIM/src/deom/deomEqSolverProp.cpp", "C++", 0, 0, 38, 0, 0, 0, 6, 7, 51
"/home/dhem/deom_git/HASSIM/src/deom/deomEqSolverSCI1.cpp", "C++", 0, 0, 134, 0, 0, 0, 31, 22, 187
"/home/dhem/deom_git/HASSIM/src/deom/deomEqSolverSCI2.cpp", "C++", 0, 0, 128, 0, 0, 0, 46, 21, 195
"/home/dhem/deom_git/HASSIM/src/deom/deomEqSolverSCI3.cpp", "C++", 0, 0, 138, 0, 0, 0, 35, 22, 195
"/home/dhem/deom_git/HASSIM/src/deom/deomHidx.hpp", "C++", 0, 0, 194, 0, 0, 0, 18, 34, 246
"/home/dhem/deom_git/HASSIM/src/deom/deomKrylov.cpp", "C++", 0, 0, 202, 0, 0, 0, 13, 31, 246
"/home/dhem/deom_git/HASSIM/src/deom/deomPropagation.cpp", "C++", 0, 0, 20, 0, 0, 0, 6, 3, 29
"/home/dhem/deom_git/HASSIM/src/deom/deomPulse.hpp", "C++", 0, 0, 55, 0, 0, 0, 14, 18, 87
"/home/dhem/deom_git/HASSIM/src/deom/deomRem.cpp", "C++", 0, 0, 687, 0, 0, 0, 8, 87, 782
"/home/dhem/deom_git/HASSIM/src/deom/deomSyst.hpp", "C++", 0, 0, 38, 0, 0, 0, 6, 11, 55
"/home/dhem/deom_git/HASSIM/src/deom/resp1st.cpp", "C++", 0, 0, 68, 0, 0, 0, 9, 20, 97
"/home/dhem/deom_git/HASSIM/src/deom/resp2nd.cpp", "C++", 0, 0, 135, 0, 0, 0, 10, 29, 174
"/home/dhem/deom_git/HASSIM/src/deom/resp3rd.cpp", "C++", 0, 0, 172, 0, 0, 0, 9, 43, 224
"/home/dhem/deom_git/HASSIM/src/deom/respPcc.cpp", "C++", 0, 0, 171, 0, 0, 0, 15, 7, 193
"/home/dhem/deom_git/HASSIM/src/deom2/CMakeLists.txt", "Django txt", 0, 3, 0, 0, 0, 0, 0, 1, 4
"/home/dhem/deom_git/HASSIM/src/deom2/deom2.hpp", "C++", 0, 0, 160, 0, 0, 0, 10, 27, 197
"/home/dhem/deom_git/HASSIM/src/deom2/deomAlgebra2.cpp", "C++", 0, 0, 99, 0, 0, 0, 6, 15, 120
"/home/dhem/deom_git/HASSIM/src/deom2/deomBath2.hpp", "C++", 0, 0, 110, 0, 0, 0, 6, 16, 132
"/home/dhem/deom_git/HASSIM/src/deom2/deomEqSolverProp2.cpp", "C++", 0, 0, 39, 0, 0, 0, 7, 8, 54
"/home/dhem/deom_git/HASSIM/src/deom2/deomRem2.cpp", "C++", 0, 0, 258, 0, 0, 0, 6, 19, 283
"/home/dhem/deom_git/HASSIM/src/deom2/deomSyst2.hpp", "C++", 0, 0, 46, 0, 0, 0, 6, 11, 63
"/home/dhem/deom_git/HASSIM/src/deom2/resp1st2.cpp", "C++", 0, 0, 66, 0, 0, 0, 9, 19, 94
"/home/dhem/deom_git/HASSIM/src/ideom/CMakeLists.txt", "Django txt", 0, 3, 0, 0, 0, 0, 0, 1, 4
"/home/dhem/deom_git/HASSIM/src/ideom/ideom.hpp", "C++", 0, 0, 171, 0, 0, 0, 10, 25, 206
"/home/dhem/deom_git/HASSIM/src/ideom/ideomEquilibrium.cpp", "C++", 0, 0, 46, 0, 0, 0, 16, 9, 71
"/home/dhem/deom_git/HASSIM/src/ideom/ideomRem.cpp", "C++", 0, 0, 59, 0, 0, 0, 6, 7, 72
"/home/dhem/deom_git/HASSIM/thirdparty/pcc/pcc_integral.cu", "CUDA C++", 0, 0, 0, 0, 104, 0, 3, 21, 128
"/home/dhem/deom_git/HASSIM/thirdparty/trie/trie.hpp", "C++", 0, 0, 150, 0, 0, 0, 13, 25, 188
"Total", "-", 2, 72, 15230, 2000, 104, 59, 1661, 3122, 22250
